2088650,"[56192185, 56760633, 56192185, 52630616, 56192185, 52630616, 221452728, 155170466, 61910952, 56192185, 56760633]"
2312483,"[206846316, 114237860, 15319507, 206846316, 19148949, 86993501, 82663956, 40470545, 94169028, 146550379, 40843837, 40136600]"
2520723,"[114797044, 40631174, 53058909, 114797044, 211742937, 56353740, 167596393, 114797044, 53058909, 114797044, 17420913, 114797044, 55155075]"
2615494,"[36653430, 40674677, 168370, 34538436, 19999172, 68272682, 168370, 29759715, 119128718, 114780062, 93085168, 8711353]"
2737108,"[230589, 128386567, 90293921, 167148609, 24261747, 58637252, 63433838, 5855873, 71245611, 30752880, 126181880, 69134740, 174089125]"
2788679,"[184460, 75239216, 79165044, 89683266, 87456161, 75239216, 87456303, 75239216, 87456427, 75239216, 126866112, 155672978, 156758686, 143409201, 74580066]"
2942716,"[220253056, 24624545, 220253056, 24624545, 220253056, 24624545, 202452224, 220253056, 34026716, 60374819, 22472367, 84183882, 220253056, 205507528, 61813823, 205507528, 198758391, 220253056, 198758391, 220253056]"
3003827,"[72291379, 221345781, 72291379, 221345781, 72291379, 221345781, 72291379, 221345781, 72291379, 221345781, 72291379, 221345781, 72291379]"
3075783,"[7777650, 154350280, 47190624, 56942570, 12454871, 56942570, 56941978, 9214768, 7777650, 36502, 154350280, 7777650, 56941978, 16408992, 26257767, 16408992, 107225370, 45717250, 7777650, 183302486]"
3093783,"[104741368, 217428821, 197520570, 106310, 206842012, 37277618, 1421258, 37277618, 1421258, 220894291, 209381919, 219770928, 219625391, 219770928, 219625391]"
3302541,"[120405899, 113959057, 128712289, 143304268, 113959057, 143304268, 120694987, 151491863, 180988409, 128712289, 151102182, 140253163, 113603450, 148239506, 143304268, 167668215, 180988409, 131793417, 140797347, 160094307, 183107600, 160094307, 113959057, 120405899, 180988409, 151491863]"
3494491,"[46806184, 160133542, 24299150, 112468872, 18950460, 84262037, 4743255, 19526226, 3361835, 189577027, 3361835, 189577027, 16552206, 45209625, 69129600, 45209625, 108563482, 87447705, 176061087, 131788702, 60044366, 156778491]"
3657978,"[220517730, 206991997, 60248085, 19283674, 60248085, 221427078, 26876849, 15137691, 75785147, 60248085, 124510032, 31792824, 54213490, 31792824, 39211337, 60248085, 1110217, 15174464, 137448279, 60623936, 89268168, 51304215, 56193983]"
3804365,"[23096959, 1278292, 21540759, 29364844, 52164532, 62978868, 52070846, 38644318, 122157942, 62978868, 143154806, 152638309, 143154806, 125570640, 152796201, 143154806, 152127015, 37393283, 146662344, 21540759, 184304089, 52070846, 152638309, 62978868, 55160689, 54144952, 62093236, 62978868, 143154806, 125570640, 143154806, 125570640, 152127015, 152126784, 152127015, 143154806, 54144952, 62093236, 143154806, 62978868, 152127015, 62978868, 152126784, 62978868, 143154806, 62978868, 152127015, 62978868, 143154806, 62978868, 152126784, 62978868, 54144222, 98690441, 30627637, 183279269]"
3888696,"[97782460, 188247623, 97782460, 14579099, 45646037, 94000872, 724712, 139973993, 724712, 97782460, 39111193]"
3906966,"[15062869, 86746409, 74174788, 66944590, 74174788, 15062869, 6093316, 15062869, 39111193, 66944590, 15062869, 478584, 15062869, 190182661, 6093316]"
3920894,"[43441403, 13766391, 43441403, 106713952, 71995937, 20961577, 58836534, 2001372, 58836534, 190698025, 2001372, 58836534, 126145211, 104172832, 99705100, 61421257, 5923215, 11180687]"
3922019,"[55717035, 36891867, 63426680, 138351240, 20580498, 1811965, 61722766, 46014834, 20580498, 102265558, 61722766, 35084991, 36891867, 137471199, 138351240, 137471199, 138351240, 61722766, 138351240, 27193779, 7639232, 1811965, 46014834, 61722766, 7639232, 187853664, 7639232, 24195339, 36891867, 46014834, 66765982, 98083685, 36891867, 7639232, 46014834, 1811965, 46014834, 7639232, 1811965, 141475624]"
3938264,"[135944496, 145479928, 135944496, 124793157, 138931759, 135944496, 211739116, 135944496, 124793157, 135944496, 124793157]"
3939659,"[57912964, 129789275, 86932157, 173614451, 99321297, 102150798, 87849371, 104032019, 173614451, 61651709, 202873062, 107943903, 102150798, 165446099, 99321297, 106306056]"
3967672,"[173478564, 134044575, 125215999, 169558510, 139727567, 215826757, 139727567, 122295777, 139727567, 125215999, 127013306, 131047110, 131907082, 139727567, 142407490, 151092365, 168151369, 163843925]"
4283036,"[15111821, 103043228, 9405122, 58385310, 51283181, 9405122, 130721132, 72156066, 9405122, 88385953, 22401106, 9405122, 9340492]"
4337824,"[129765035, 86022066, 129765035, 86022066, 47633877, 48380255, 134531640, 91573538, 201948762, 48380255, 34165498]"
4371732,"[108265239, 73915307, 108265239, 70855756, 8542523, 108265239, 18399889, 79510167, 108265239, 73915307, 79510167, 151871286, 108265239, 3638964, 46383942, 108265239]"
4651658,"[30638861, 7352215, 199296457, 123229076, 30638861, 78460618, 24075898, 77928713, 78566876, 78460618, 199296457]"
4947087,"[107760466, 65600975, 73328905, 103267552, 102973646, 65600975, 216665070, 120975327, 216665070, 65600975, 102973646, 65600975, 156293205]"
4951767,"[49876476, 105944401, 27146054, 4831902, 189329727, 176235475, 180543579, 176235475, 180543579, 176235475, 176236948, 113932055, 208698479]"
5106704,"[24349832, 94367677, 24349832, 94367677, 24349832, 94367677, 75104123, 72978528, 31085130, 80233816, 88962332, 179009037, 33352201, 112529625, 120625155, 8507859, 120625155, 8507859, 120625155, 8507859, 120625155]"
5250706,"[220983084, 4549925, 45402653, 27356928, 66497320, 8514, 66497320, 20929025, 142772641, 179936696, 142772641, 45402653, 220531359, 220983084, 142772641, 220983084, 20929025, 220983084, 45402653, 122637538, 199470781, 220983084]"
5493799,"[54099203, 29028775, 63537249, 209768330, 144382253, 209768330, 209768438, 209768505, 209768330, 42481664, 38976571, 96036483, 33647441, 24195339]"
5691554,"[57997461, 56228491, 56228491, 57997461, 57997461, 110361799, 57997461, 111265749, 60273704, 65711522, 60273704, 65711522, 88868842, 98599362, 91332818, 98599362, 133907444, 45717250]"
5799533,"[208933690, 145027169, 62809613, 174082865, 127838474, 40752536, 208933690, 180512165, 180512165, 197902822, 211581781, 197902822, 175976418, 184075287, 208933690, 43175432, 186947810, 208933690, 211593809, 29210378]"
5896262,"[37346186, 44804216, 15884926, 70150969, 44804216, 26061134, 37346186, 36836475, 15730865, 37346186, 66966208, 37346186]"
5914757,"[89520887, 4311796, 1062897, 321278, 182299236, 47648925, 117144849, 79839113, 33521619, 89520887, 33521619]"
5945155,"[44344606, 45200393, 91144427, 87617508, 45200393, 64734778, 19922293, 20149101, 4059138, 27879069, 44344606]"
6066747,"[210139477, 210139533, 180820660, 180827263, 180820660, 180827263, 189825859, 180827263, 189825859, 180827263, 210139533, 180827263, 210139477, 180827263, 210139477, 180820660, 210139477, 216966209, 156738406, 210139477, 180820660, 75635972, 156738406, 210139477, 180820660, 119178778, 180820660, 180827263, 156738406, 180820660, 75635972, 156738406, 75634491, 156738406, 180827263, 180820660, 210139477, 75640042, 156738406, 75635972, 180820660, 156738406, 181595287, 156738406, 180820660]"
6105425,"[151166891, 22789601, 61722736, 22789601, 3701855, 1468275, 2522528, 1516467, 2522528, 1516467, 48713012, 49167075]"
6204156,"[613829, 75661534, 34302698, 26783295, 77144337, 26783295, 34302698, 73902337, 97652025, 100716846, 97652025, 77144337, 66050533, 50317581, 613829]"
6223034,"[26195776, 98990713, 150707438, 212832430, 98990713, 41377120, 15045751, 67747435, 150707438, 98990713, 53658846, 150707438, 98990713, 26516210, 98990713, 150707438, 98990713, 150707438, 390510, 19463625]"
6297510,"[67047598, 17147559, 6498492, 91491386, 41881900, 41543133, 32215970, 91491386, 91491386, 41543133, 41543133, 91491386, 174993896, 23088740, 41543133, 130737909, 32215970]"
6345863,"[15412237, 7200116, 44694978, 5625464, 44694978, 123303402, 44694978, 7730829, 44694978, 177635760, 44694978, 21745373, 44694978, 104812597, 131770422, 177635760, 131770422, 21745373, 177635760, 5857387, 3489194, 6251097, 177635760, 131770422, 177635760, 131770422, 177635760, 125266328, 177635760, 44694978, 1362490, 873328, 44694978, 1207300, 43743138]"
6418156,"[39236124, 19390712, 17372733, 2055965, 4238977, 2055965, 17372733, 34369372, 39063075, 51218141, 75547, 106050830, 8245842, 11661876, 146606921, 95817080, 10458757]"
6461222,"[80616041, 61204547, 80616041, 35168769, 75643096, 178442448, 53662249, 80616041, 183819434, 59925269, 80616041, 29028775, 40642004, 126389988, 58052865, 31792824, 32965287, 146941185, 80616041, 88124214, 80616041]"
6573071,"[51921813, 105641804, 51921813, 168878196, 51921813, 121687281, 51921813, 133360491, 51921813, 168878196, 51921813]"
6606686,"[92485944, 8514, 120817192, 29028775, 177566870, 29028775, 82801128, 8514, 129791, 144, 6529205]"
6670452,"[10525148, 19971572, 10525148, 1335581, 70360215, 37959149, 10525148, 31492490, 21969084, 31492490, 1335581, 10525148, 31284072, 60999466, 70360215, 31284072, 154321122, 70360215, 33494287, 59925269, 102623704, 11340403, 154321122, 134486059, 133870306, 101652487, 94562505, 94513908, 133870306, 33494287, 133870306, 94562505, 33494287, 70360215, 33494287, 102623704]"
6799874,"[2871998, 89063299, 89123647, 41113899, 89073535, 19117456, 41113899, 89073535, 89123647, 89073535, 41113899, 89123647, 89073535, 89123647]"
6882495,"[7548986, 15437427, 7548986, 2880469, 7548986, 7548986, 42480275, 42480275, 7548986, 153632216, 458058]"
6921398,"[16665655, 79723839, 210359592, 40305520, 65437354, 3954884, 3954884, 3954886, 5347074, 5839692, 21779020, 5839692, 95598479, 5839692, 34994276, 5347074, 3954886, 40305520, 83446927]"
7007124,"[11061773, 33440467, 27011801, 27193779, 193556202, 32238354, 80369237, 11672345, 61270075, 80084817, 45036984, 28061676, 80084817, 80369237, 28061676, 108027351, 74299372, 114118345, 11061773, 28061676, 165536154, 28061676, 32238354, 165536154, 47434220, 165536154, 873328, 11672345, 28061676, 45036984, 165536154, 11061773, 28061676, 11672345, 80084817, 80369237, 78819190, 98783106, 80369237, 80084817, 165536154, 24195339, 165536154, 61270075, 11061773, 165536154, 45036984, 11061773, 95627139, 45036984, 165536154, 80084817, 165536154, 11672345, 165536154]"
7202089,"[113912360, 7757937, 3678731, 113912360, 99598595, 42283287, 107853982, 113912360, 60694986, 63537249, 91839306, 3678731, 47394776, 123254500, 4192593, 36535156, 9386185, 88004968, 22046023, 72956691]"
7280120,"[58821567, 16957000, 58821567, 39860637, 2450161, 89779028, 48284446, 54601302, 154970860, 177545790, 154970860, 946044, 21649905, 184246417, 186421723, 1184678, 45362021, 53426706, 95426286, 31504491, 208047461, 63421322, 78678862, 86920920, 95426286, 23096959]"
7308718,"[130495095, 6051812, 29217054, 45063392, 129867808, 129838358, 129835370, 130380034, 129872221, 129833594, 130138478, 134011490, 130425083, 129834089, 140176933]"
7370819,"[43574035, 194943393, 99062517, 194943393, 102969245, 192632000, 13124802, 29371034, 29217054, 29371034, 127262535, 45584872, 81311270, 148576574, 42408804, 94949504, 29371034]"
7403219,"[16745233, 87199173, 175565633, 87199173, 74615980, 87199173, 74615980, 87199173, 74615980, 16745233, 74615980, 16745233, 87199173, 16745233, 87199173]"
7406639,"[73327387, 97324509, 98451864, 54073010, 67530116, 71732856, 98451864, 12670444, 71732856, 67530116, 98451864, 38331796, 193388758]"
